148|*|Slips
155|*|Series Ornaments
185|*|Longaberger
93|*|Antique, Vintage (Pre-1940)
48|*|Rumble Paks
99|*|Reggae, Ska
191|*|Small Appliances
11|*|Exercise
4|*|Manufactured
41|*|West Virginia
71|*|Pottery & Glass
51|*|Oxfords
11|*|Mineral Waters
67|*|Plants, Seeds, Bulbs
17|*|Current
86|*|Duncan Royale
90|*|Bed & Bath Linens
139|*|Professional
160|*|Souvenir Programs
76|*|Carpentry, Woodworking
107|*|Movie, TV
4|*|Mascara, Eyeliner
36|*|Autographs
130|*|Printers & Supplies
221|*|Casual
39|*|Other Outerwear
163|*|Trivets
13|*|Records
16|*|Sarah's Attic
32|*|Vintage (no feet)
67|*|Sandals
55|*|Other Footwear
6|*|Swords
8|*|Jeans & Pants
133|*|Heritage Village
210|*|Lucy & Me
114|*|Shirts
71|*|Waterford
85|*|Motorola
8|*|Dolls
31|*|Schmid
14|*|Flags
43|*|Franklin Mint
80|*|Flat Panel
118|*|Limoges
18|*|Other Birds
211|*|European
117|*|Chrome
18|*|Italy & Area
83|*|Restaurants
0|*|Strapless
47|*|Other Golden Age
2|*|Fur
82|*|Prints
75|*|Tools
112|*|Other World
147|*|Taylor Smith & Taylor
76|*|International
0|*|Ethnic, Tribal Jewelry
131|*|Theater
0|*|Stockings
30|*|Hiking
98|*|Pottery
14|*|Friends of the Feather
36|*|Chinese
9|*|X-Men
44|*|Pie Birds
239|*|Cigarette
150|*|Danbury Mint
72|*|Harmony Kingdom
81|*|Pajamas
46|*|Ice Buckets
0|*|Ice Cream Scoops
8|*|Super Hero
91|*|Bedspreads
122|*|Washington (1932-Now)
5|*|Precious Moments
8|*|Contemporary (1950-Now)
18|*|Classics
3|*|Virginia Slims
89|*|Textiles
100|*|Ads, Flyers
54|*|Other Boots
4|*|Bar Sets
97|*|Silver
23|*|X-Files
4|*|Treasure Hunt
161|*|Lenox
26|*|Mary's Moo Moos
2|*|Action/Revell
79|*|Corsets
145|*|Star Wars
3|*|First Gear
0|*|Kitchen Textiles
6|*|Flower Girls' Dresses
149|*|Brass
137|*|Sporting Events
0|*|Other Norman Rockwell Items
18|*|New, Contemporary
51|*|Furnishings, Knives & Tools
27|*|Office Equipment
12|*|Misses
7|*|Adventure
3|*|Chanel
84|*|Music
13|*|Suspenders, Braces
0|*|Mixers
54|*|Shelf
17|*|Props, Wardrobe
43|*|Gaming Controls
216|*|Tea Kettles
6|*|Neck Ties
6|*|Pickles, Sauces, Other Food
11|*|Distillery
5|*|Camel
190|*|Mixing Bowls
232|*|Serving Trays
5|*|Pens, Pencils, Pads
75|*|Software
53|*|Vintage (Pre-1970)
33|*|Demi-Cup
37|*|Football-NFL
50|*|Safety
36|*|Cowboy, Western
22|*|Other Lunchboxes
97|*|Clothing & Accessories
26|*|Business, Office & Industrial
132|*|B&W
63|*|Christmas in the City
4|*|Shapers
129|*|Wreaths
96|*|Reproduction
36|*|Sweats
